graph_id,source,target,source_value,target_value,rounded_gap,tol
uniform_n40_tol0.049,18,19,0.45,0.475,0.024999999999999967,0.049
uniform_n40_tol0.049,19,20,0.475,0.5,0.025000000000000022,0.049
uniform_n40_tol0.049,20,21,0.5,0.525,0.025000000000000022,0.049
uniform_n40_tol0.049,21,22,0.525,0.55,0.025000000000000022,0.049
uniform_n40_tol0.049,22,23,0.55,0.575,0.02499999999999991,0.049
uniform_n40_tol0.049,23,24,0.575,0.6,0.025000000000000022,0.049
uniform_n40_tol0.049,24,25,0.6,0.625,0.025000000000000022,0.049
uniform_n40_tol0.049,25,26,0.625,0.65,0.025000000000000022,0.049
uniform_n40_tol0.049,26,27,0.65,0.675,0.025000000000000022,0.049
uniform_n40_tol0.049,27,28,0.675,0.7,0.02499999999999991,0.049
uniform_n40_tol0.049,28,29,0.7,0.725,0.025000000000000022,0.049
uniform_n40_tol0.049,29,30,0.725,0.75,0.025000000000000022,0.049
uniform_n40_tol0.049,30,31,0.75,0.775,0.025000000000000022,0.049
uniform_n40_tol0.049,31,32,0.775,0.8,0.025000000000000022,0.049
uniform_n40_tol0.049,32,33,0.8,0.825,0.02499999999999991,0.049
uniform_n40_tol0.049,33,34,0.825,0.85,0.025000000000000022,0.049
uniform_n40_tol0.049,34,35,0.85,0.875,0.025000000000000022,0.049
uniform_n40_tol0.049,35,36,0.875,0.9,0.025000000000000022,0.049
uniform_n40_tol0.049,36,37,0.9,0.925,0.025000000000000022,0.049
uniform_n40_tol0.049,37,38,0.925,0.95,0.02499999999999991,0.049
uniform_n40_tol0.049,38,39,0.95,0.975,0.025000000000000022,0.049
uniform_n40_tol0.049,39,40,0.975,1.0,0.025000000000000022,0.049
uniform_n40_tol0.05,0,1,0.0,0.025,0.025,0.05
uniform_n40_tol0.05,0,2,0.0,0.05,0.05,0.05
uniform_n40_tol0.05,1,2,0.025,0.05,0.025,0.05
uniform_n40_tol0.05,1,3,0.025,0.075,0.049999999999999996,0.05
uniform_n40_tol0.05,2,3,0.05,0.075,0.024999999999999994,0.05
uniform_n40_tol0.05,2,4,0.05,0.1,0.05,0.05
uniform_n40_tol0.05,3,4,0.075,0.1,0.02500000000000001,0.05
uniform_n40_tol0.05,3,5,0.075,0.125,0.05,0.05
uniform_n40_tol0.05,4,5,0.1,0.125,0.024999999999999994,0.05
uniform_n40_tol0.05,4,6,0.1,0.15,0.04999999999999999,0.05
uniform_n40_tol0.05,5,6,0.125,0.15,0.024999999999999994,0.05
uniform_n40_tol0.05,5,7,0.125,0.175,0.04999999999999999,0.05
