seed,run_a,run_b,order_a,order_b,token,input_value,step_a,step_b,belief_before_a,belief_before_b,accepted_a,accepted_b,gap_a,gap_b
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,53,0.0,54,15,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,54,0.0,55,16,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,55,0.0,56,17,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,56,0.0,57,18,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,57,0.0,58,19,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,58,0.0,59,20,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,59,0.0,60,21,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,60,0.0,61,22,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,61,0.0,62,23,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,62,0.0,63,24,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,63,0.0,64,25,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,64,0.0,65,26,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,65,0.0,66,27,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,66,0.0,67,28,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,67,0.0,68,29,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,68,0.0,69,30,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,69,0.0,70,31,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,70,0.0,71,32,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,71,0.0,72,33,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,72,0.0,73,34,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,73,0.0,74,35,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,74,0.0,75,36,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,75,0.0,76,37,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,76,0.0,77,38,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,77,0.0,78,39,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,78,0.0,79,40,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,79,0.0,80,41,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,80,0.0,81,42,0.0,1.0,True,False,0.0,1.0
